"brewery_name","brewery_id","beers","beers_id","n_beers","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews"
"Abita Brewing Co.",3,"[""Strawberry Harvest Lager"",""Abita Select Amber Ale"",""Restoration Pale Ale"",""Abita Select India Pale Ale"",""Abbey Ale"",""Jockamo IPA"",""Christmas Ale 2009"",""Abita Select Pale Ale"",""Dunkelweizen"",""Turbodog"",""Light"",""Christmas Ale 2005"",""Abita Select Double IPA"",""Christmas Ale 2006"",""Golden"",""Purple Haze"",""Christmas Ale 2007"",""Abita Select Doppelbock"",""Abita Select Alt"",""Mardi Gras Bock"",""Fall Fest"",""Amber"",""Pecan Harvest Ale"",""Wheat"",""Christmas Ale 2003"",""Fleur-de-lis Restoration Ale"",""Andygator"",""Abita Select Triple Haze"",""Satsuma Harvest Wit"",""Abita Select Imperial Stout"",""20th Anniversary Pilsner"",""Christmas Ale 2004"",""Christmas Ale 2008"",""Abita Select Imperial Pilsner"",""Christmas Ale 2011"",""Red Ale"",""Christmas Ale 2002"",""Abita Select Belgian White"",""Abita Select Black IPA"",""Christmas Ale 2010"",""Abita Select Imperial Louisiana Oyster Stout"",""Abita Select Oatmeal Stout"",""25th Anniversary Vanilla Doubledog"",""SOS (Save Our Shore)""]","[""23505"",""53285"",""41195"",""27044"",""45583"",""39390"",""54015"",""37808"",""41744"",""6"",""13769"",""26939"",""56509"",""33993"",""9"",""7"",""39391"",""25255"",""25254"",""3001"",""3000"",""5"",""35134"",""8"",""14648"",""26497"",""1565"",""67385"",""46955"",""55299"",""31120"",""20742"",""45866"",""24753"",""74967"",""2999"",""7297"",""23504"",""66121"",""63201"",""74070"",""46291"",""73139"",""60284""]",44,3.55872926093514,3.38404977375566,3.58993212669683,3.39753016591252,3.42090874811463,5304
"Adirondack Pub & Brewery",7216,"[""Bear Naked Ale"",""Dirty Blonde"",""Belgian Saison"",""Fat Scotsman"",""Headwater Hefe"",""Czech Pilsner"",""Maple Porter"",""Black IPA"",""Oktoberfest"",""Belgian Pale Ale"",""Double IPA"",""Indian Pale Ale""]","[""37158"",""63763"",""52358"",""24839"",""63760"",""63759"",""72152"",""64288"",""73740"",""52357"",""67945"",""52473""]",12,3.80188679245283,3.73584905660377,3.81132075471698,3.76415094339623,3.83018867924528,53
"Adnams plc, Sole Bay Brewery",779,"[""Adnams SSB (Suffolk Special Bitter)"",""Adnams Broadside"",""Adnams Broadside Strong Original"",""Adnams Explorer"",""Adnams East Green Carbon Neutral"",""Adnams Gunhill"",""Adnams Bitter"",""Adnams Southwold Bitter"",""Adnams Innovation"",""Adnams Tally-Ho""]","[""7615"",""4687"",""12305"",""20121"",""42754"",""49413"",""23975"",""5413"",""45876"",""14126""]",10,3.89097744360902,3.69924812030075,3.92669172932331,3.80827067669173,3.88157894736842,532
"Aiken Brewing Company",9035,"[""Aiken Thoroughbred Red"",""Aiken West Coast Pale Ale"",""Randy's Grand Cru"",""Aiken Oatmeal Stout"",""Olde Aiken Ale""]","[""30792"",""36088"",""16416"",""17348"",""56062""]",5,4.11290322580645,3.79032258064516,3.85483870967742,3.85483870967742,3.93548387096774,31
"Aktien-Brauerei Kaufbeuren AG",1623,"[""Weizen"",""St. Martin Dunkler Doppelbock"",""Hell"",""St. Blasius Weizenbock"",""Heller Belli Bock"",""Weizen Anno 25 Hefe Weisse"",""Kaufbeurer Tänzelfestbier"",""Jubiläums German Pils"",""Hefeweizen Hell"",""St. Martin Dunkler Bock"",""Frundsberg Dunkel"",""Buronator Doppelbock"",""Tanzelfest"",""Holzhausener Landbier"",""Premium Edel (Spezialbier Edel)"",""Maibock"",""Oktoberfest"",""Steingadener Weisse Dunkel""]","[""10919"",""4531"",""6701"",""27464"",""34434"",""24221"",""34493"",""11925"",""12785"",""41114"",""11549"",""37891"",""7765"",""5707"",""6688"",""33547"",""7764"",""4584""]",18,3.6763085399449,3.54407713498623,3.46831955922865,3.57988980716253,3.60743801652893,363
"Alameda Brewhouse",2980,"[""Papa Noel's Olde Ale"",""El Torero Organic IPA"",""Stout"",""Gold"",""Porter"",""Black Bear XX Stout"",""Irvington Juniper Porter"",""Klickitat Pale Ale"",""Yellow Wolf Imperial IPA"",""IPA""]","[""14677"",""31413"",""7216"",""19536"",""14402"",""16046"",""16045"",""20036"",""51783"",""8242""]",10,3.94632768361582,3.8954802259887,3.98587570621469,3.95197740112994,4.00564971751412,177
"Alandale Brewing Company",14268,"[""Marzen"",""Amber Ale"",""Dopplebock Lager"",""Irish Red"",""Porter"",""American IPA"",""Winter Lager"",""Chocolate Stout"",""Pilsner"",""Octoberfest"",""Pumpkin Ale"",""Vienna"",""Blackberry Wheat""]","[""46099"",""34180"",""34182"",""44742"",""40519"",""34698"",""34181"",""39292"",""34697"",""39291"",""34389"",""33857"",""35652""]",13,3.85294117647059,3.63235294117647,3.80882352941176,3.67647058823529,3.79411764705882,34
"Alaskan Brewing Co.",429,"[""Alaskan Smoked Porter"",""Alaskan Amber"",""Alaskan Raspberry Wheat (Pilot Series)"",""Alaskan Winter Ale"",""Alaskan Summer Ale"",""Alaskan ESB"",""Alaskan Stout"",""Alaskan Pale"",""Alaskan Imperial IPA (Pilot Series)"",""Alaskan Barley Wine (Pilot Series)"",""Alaskan Baltic Porter (Pilot Series)"",""Alaskan Perseverance Ale (Pilot Series)"",""Alaskan Witbier (Rough Draft Series)"",""Alaskan Double Black IPA (Pilot Series)"",""Alaskan IPA"",""Alaskan Black IPA"",""Alaskan White""]","[""1769"",""1309"",""58251"",""1768"",""3961"",""1306"",""1305"",""1469"",""67154"",""35924"",""36532"",""72762"",""44238"",""61144"",""22787"",""76892"",""49070""]",17,3.9110248447205,3.78664596273292,3.8195652173913,3.79130434782609,3.85326086956522,3220
"Alcatraz Brewing Co.",1930,"[""Hop Goddess"",""Extra Special Bitter"",""Octoberfest"",""Strawberry Wheat"",""India Pale Ale"",""Weiss Guy Wheat"",""Birdman Brown"",""Pelican Pale Ale"",""Apricot Wheat"",""Alcatraz Weiss Guy Wheat"",""Big House Red"",""Eisbock"",""Pale Ale""]","[""64888"",""58801"",""60972"",""46299"",""44466"",""41630"",""7032"",""8221"",""55589"",""15409"",""7031"",""64391"",""25748""]",13,3.35849056603774,3.10377358490566,3.43396226415094,3.33962264150943,3.24528301886792,53
"Aldaris",1382,"[""Porteris"",""Gaisais Ale"",""Aldara Stiprais (Strong)"",""Zelta"",""Luksus""]","[""5975"",""43099"",""31113"",""6156"",""31134""]",5,3.43303571428571,3.36383928571429,3.65178571428571,3.5,3.41964285714286,224
"Ale Asylum",13837,"[""Big Slick Stout"",""Hopalicious"",""Contorter"",""Mad Town Nut Brown"",""Sticky McDoogle"",""Ballistic IPA"",""Bamboozleator"",""Mercy"",""Happy Ending"",""Satisfaction Jacksin"",""Disporterly Conduct"",""Tripel Nova"",""Ambergeddon"",""Diablo"",""Bedlam"",""Gold Digger Blonde Ale""]","[""31266"",""30679"",""42364"",""31412"",""36045"",""48317"",""42058"",""46231"",""30680"",""53042"",""35080"",""30632"",""31117"",""30631"",""57290"",""34302""]",16,3.93634116192831,3.87144622991347,3.88998763906057,3.79789864029666,3.87453646477132,809
"Ale Industries",19890,"[""Orange Shush"",""East Bay IPA"",""Anniversary Ale"",""Rye'd Piper"",""Fysus"",""Xtra Pale Ale""]","[""52993"",""71865"",""57538"",""59221"",""63603"",""56413""]",6,3.68181818181818,3.75757575757576,3.77272727272727,3.65151515151515,3.72727272727273,33
"AleSmith Brewing Company",396,"[""AleSmith IPA"",""AleSmith Speedway Stout"",""AleSmith X"",""AleSmith Decadence 2007 Imperial Porter"",""AleSmith Horny Devil"",""Anvil Ale ESB"",""YuleSmith (Summer)"",""AleSmith Decadence 2008 English Style Barleywine"",""AleSmith Nautical Nut Brown Ale"",""AleSmith Stumblin' Monk"",""AleSmith Speedway Stout - Orange Rum"",""AleSmith Evil Dead Red"",""AleSmith Wee Heavy"",""AleSmith Decadence 2005 Barrel Aged"",""AleSmith Old Numbskull"",""AleSmith Grand Cru Ale"",""AleSmith English Wee Heavy"",""Alesmith Speedway Stout - Vanilla And Coconut "",""AleSmith Decadence 2006 (Dead By Dawn) Barrel Aged"",""AleSmith Lil' Devil"",""AleSmith Speedway Stout - Barrel Aged"",""AleSmith My Bloody Valentine"",""AleSmith Decadence 2008 Barrel Aged"",""AleSmith Decadence 2010 English Style Old Ale"",""AleSmith Speedway Stout - Brewer's Blend"",""YuleSmith (Winter)"",""AleSmith Wee Heavy - Barrel Aged"",""AleSmith Decadence 2007 Imperial Porter Barrel Aged"",""AleSmith Weizenbock"",""AleSmith Decadence 2006 (Dead By Dawn)"",""AleSmith Decadence 2009 Dunkel Weizenbock"",""Alesmith Speedway Stout - Chipotle And Morita Pepper"",""AleSmith Old Numbskull - Barrel Aged"",""AleSmith Speedway Stout - Kopi Luwak""]","[""3916"",""3833"",""1370"",""41926"",""2361"",""2872"",""7284"",""50465"",""9791"",""2348"",""75214"",""10387"",""16400"",""34340"",""6646"",""27371"",""74974"",""70054"",""72756"",""15966"",""31484"",""28312"",""70038"",""59194"",""72055"",""47647"",""29708"",""48450"",""1129"",""37610"",""54797"",""63213"",""21120"",""54035""]",34,4.17337164750958,4.20458173690932,4.19492337164751,4.17632503192848,4.25351213282248,6264
"Alexander Keith's",6994,"[""Alexander Keith's India Pale Ale"",""Alexander Keith's Dark Ale"",""Alexander Keith's Red Amber Ale"",""Alexander Keith's Nova Scotia Style Lager"",""Alexander Keith's Light Ale"",""Alexander Keith's Ambrosia Blonde"",""Alexander Keith's Traditional Lager"",""Alexander Keith's Nova Scotia Style Pale Ale"",""Schooner"",""Alexander Keith's Harvest Ale"",""Oland Export"",""Alexander Keith's Premium White"",""Alexander Keith's Nova Scotia Style Brown Ale"",""Alexander Keith's Tartan Ale""]","[""264"",""45965"",""29070"",""68483"",""3043"",""70055"",""41555"",""68370"",""8321"",""62622"",""13822"",""48718"",""68435"",""67234""]",14,3.06799336650083,2.71310116086235,3.06965174129353,2.89137645107794,2.77114427860697,603
"Allagash Brewing Company",4,"[""Allagash Victor Ale"",""Allagash Black"",""Allagash Tripel Ale"",""Allagash Dubbel Ale"",""Allagash White"",""Allagash Interlude"",""Allagash Confluence Ale"",""Allagash Grand Cru"",""Allagash FOUR"",""Allagash Avancé"",""Allagash Fedeltá"",""Allagash Lawrence (Larry)"",""Allagash Fluxus 2010"",""Allagash Summer Ale"",""Allagash 11th Anniversary Ale"",""Allagash Vagabond Ale"",""Allagash Vrienden"",""Allagash Thing 1"",""Allagash Coolship Red"",""Allagash Fluxus 2009"",""Allagash Fluxus 2007"",""Allagash Bruin Ale"",""Allagash FOUR - Bourbon Barrel Aged"",""Allagash Black - Bourbon Barrel Aged"",""Allagash Little Big Beer"",""Allagash Odyssey"",""Allagash Hugh Malone"",""Allagash Coolship Cerise"",""Allagash Curieux (Bourbon Barrel-Aged Tripel)"",""Allagash Musette"",""Allagash Fluxus 2011"",""Allagash Gargamel Ale"",""Allagash Big Little Beer"",""Allagash Victoria Ale"",""Allagash Fluxus 2008"",""Allagash Victor Francenstein"",""Allagash Rosa"",""Allagash Blonde Ale"",""Allagash Ghoulschip"",""Allagash Burnham Road"",""Allagash 10th Anniversary Ale"",""Allagash Speciale Reserve""]","[""37206"",""40051"",""448"",""10"",""59"",""27837"",""47277"",""58"",""16655"",""58278"",""46024"",""61439"",""60919"",""9564"",""32048"",""53518"",""67214"",""71957"",""58839"",""52215"",""39041"",""8865"",""25223"",""48279"",""63296"",""21363"",""36527"",""58838"",""16909"",""31254"",""71633"",""49662"",""65052"",""30174"",""44093"",""56665"",""43301"",""60712"",""62072"",""49691"",""24209"",""1050""]",42,4.05898104916232,4.01386981598462,4.05932436143916,4.01647898928866,4.09187036528426,7282
"Allentown Brew Works",16096,"[""Space Monkey"",""Rude Elf's Reserve"",""Hop Explosion"",""Oktoberfest"",""Copper Kettle Pale Ale"",""Weizenbock"",""Pig Pen Pilsner"",""Pawn Shop Porter"",""Bourbon Barleywine"",""Espresso Stout"",""Fegley's Insidious Imperial Stout"",""Farmhouse Ale"",""Maibock"",""Hop'solutely"",""Devious"",""Bagpiper's Scotch Ale"",""Monkey Wrench"",""Pigtail Ale"",""Cocoa Porter"",""Pumpkin Ale"",""Grand Cru"",""Blueberry Belch"",""Hop Monster""]","[""59610"",""47814"",""39732"",""45706"",""40752"",""75770"",""38150"",""37815"",""55411"",""54858"",""59158"",""54856"",""42570"",""53962"",""61168"",""47818"",""68482"",""38244"",""74826"",""39199"",""42575"",""44418"",""54857""]",23,3.58777429467085,3.68965517241379,3.80877742946708,3.57993730407523,3.60344827586207,319
"Alley Kat Brewing Company",711,"[""Summer Ale"",""Sherbrooke Neapolean Neapolitan Stout"",""Herbstweizen Krystal Weizen"",""Alley Kat Coffee Porter"",""Fresh Hop Full Moon"",""Blue Dragon"",""Razzykat"",""Cringer Cranberry Ginger Ale"",""Sorrentino's Garlic Lager"",""Aprikat"",""Chocolate Orange Porter"",""Maibock"",""Alligator Blackened Lager"",""Kiltlifter Scotch Ale"",""Brewberry Blueberry Ale"",""Sherbrooke Chocolate Cherry Ostiarius"",""Chat-O"",""Accent Double Edged IPA"",""Olde Deuteronomy"",""Sherbrooke Bad Hare Day"",""Unity Brew"",""Ochsner's 1905 Alberta Porter"",""Full Moon Pale Ale"",""Pumpkin Pie Spiced Ale"",""KGB"",""Apple Wit"",""Three Bears Oatmeal Stout"",""Cascadian Dark Ale"",""White Tail Hefeweizen"",""Red Dragon"",""Belgian Style Tripel"",""Alley Kat Smoked Porter"",""Sherbrooke Aaiieeeeeeeeee Caramba! - Serrano Chili"",""Ein Prosit!"",""Fireside Mild"",""Heatseeker"",""Charlie Flint's Original Lager"",""Raspberry Mead"",""Weihnachtskatze"",""Alley Kat Amber"",""Chinese New Beer"",""Ginger Beer"",""Loaded Goat Maibock"",""Radiator Doppelbock"",""Sherbrooke Shamrock""]","[""30700"",""58696"",""36951"",""38798"",""73640"",""75600"",""2070"",""75089"",""49417"",""2064"",""64494"",""42637"",""17106"",""27920"",""57493"",""39743"",""6679"",""68815"",""2066"",""41795"",""62801"",""61268"",""2065"",""38904"",""54061"",""62424"",""66523"",""63595"",""70342"",""72873"",""58094"",""2073"",""45796"",""2069"",""47136"",""45123"",""10532"",""49751"",""2072"",""2063"",""65973"",""60182"",""68497"",""33060"",""35823""]",45,3.85238907849829,3.81740614334471,3.75767918088737,3.70733788395904,3.81484641638225,586
"Allgäuer Brauhaus AG",890,"[""Allgäuer Büble Bier"",""St. Magnus Heller Bock"",""Altenmünster Winterbier Dopplebock"",""Altenmünster Premium"",""Allgäuer Urbairisch Dunkel"",""Allgäuer Cambonator Doppelbock"",""Allgäuer Alt Kemptener Weisse"",""Altenmünster Maibock Hell"",""Allgäuer Teutsch Pils"",""Blues Lager"",""Altenmünster Winterbier Dunkel"",""Allgäuer Fürstabt Hefeweizen"",""Allgäuer Bayrisch Hell"",""Allgäuer Oktoberfest"",""Altenmünster Urig Würzig"",""Altenmünster Brauer Bier Hopfig Herb"",""Altenmünster Brauer Bier Urig Wurzig"",""Altenmünster Hopfig Herb"",""Allgäuer Stifts-Weizenbock"",""Allgäuer Fürstabt Kristallweizen"",""Altenmünster Maibock"",""Allgäuer Weihnachtsbier""]","[""4921"",""7532"",""39706"",""1261"",""11469"",""2863"",""13536"",""23703"",""9665"",""16243"",""33810"",""9892"",""13540"",""15024"",""15521"",""30187"",""21957"",""4919"",""7941"",""13537"",""9392"",""6689""]",22,3.70018975332068,3.52087286527514,3.69449715370019,3.63662239089184,3.62428842504744,527
"Alltech’s Lexington Brewing and Distilling Co.",430,"[""Kentucky Bourbon Barrel Ale"",""Kentucky Ale"",""Kentucky Light"",""Kentucky Bourbon Barrel Ale - Old Friends"",""Kentucky Appalachian Ale"",""Kentucky Coal Porter""]","[""18698"",""1297"",""12766"",""39824"",""72650"",""61579""]",6,3.62295081967213,3.60860655737705,3.54610655737705,3.50204918032787,3.58196721311475,488
"Alpine Beer Company",3120,"[""Captain Stout"",""Hoppy Birthday"",""McIlhenney's Irish Red"",""Ichabod Ale 2009"",""Emerson"",""Ugly"",""Ned"",""Good"",""Apricot Nectar"",""WHAle (Wet Hopped Ale)"",""Nelson"",""Crazy Hazel"",""Red Card"",""Tuatara"",""California Uncommon"",""Bourbon Barrel-Aged Odin's Raven"",""Mandarin Nectar"",""Pure Hoppiness"",""Exponential Hoppiness"",""Boris"",""Alpine Ale"",""Token"",""Odin's Raven"",""Ichabod Ale 2008"",""Token Bourbon Barrel Aged"",""Black Forest Stout"",""Duet IPA"",""Willy Wheat Ale"",""O'Brien's IPA"",""Ichabod Ale 2007"",""Bad Boy"",""Briscoe"",""Willy Vanilly"",""Great"",""Chez Monieux"",""Pale Ale"",""New Millenium"",""Chez Monmee""]","[""9763"",""58610"",""7605"",""63031"",""24292"",""63845"",""58380"",""34128"",""11915"",""26500"",""32286"",""17056"",""59838"",""53217"",""54351"",""73877"",""9258"",""7597"",""12068"",""45857"",""10526"",""55431"",""64586"",""45679"",""72748"",""39856"",""27604"",""10524"",""40502"",""20550"",""34090"",""42156"",""10525"",""25364"",""42157"",""34480"",""70311"",""62340""]",38,4.21333787002382,4.22133378700238,4.1049676760803,4.07196325280708,4.20074855392991,2939
"Alpine Brewing Company",1586,"[""Alpine Oktoberfest"",""Alpine Munich Marzen"",""Hefe-Weizen"",""Alpine Weizen-Bock"",""Märzen"",""Alpine Bohemian Pilsner""]","[""13959"",""12139"",""65453"",""36360"",""12072"",""18275""]",6,3.72058823529412,3.60294117647059,3.76470588235294,3.64705882352941,3.70588235294118,34
"Amager Bryghus",16055,"[""Sundby Stout"",""Batch One"",""Imperial Stout"",""Rugporter"",""Fusion"",""IPA"",""Citra Weiss"",""Black Nitro"",""Amager Mikkeller Trækølle"",""Nitro"",""Fru Frederiksen"",""Rated XX"",""Hr. Papsø"",""Amager Mikkeller Kølle"",""Hr. Frederiksen"",""Julebryg 2008"",""Hr. Frederiksen (Portvinslagret)"",""Danish Beerhouse Barrel Aged Imperial Stout"",""Double Black IPA"",""Danish Beerhouse Barrel Aged Old Man's Ale"",""Imperial Brown Ale"",""Summer Fusion""]","[""41450"",""40324"",""41554"",""50033"",""61029"",""50024"",""61232"",""55035"",""50029"",""50030"",""50022"",""50032"",""46750"",""45227"",""41453"",""46899"",""66642"",""46738"",""61230"",""50019"",""41455"",""43902""]",22,3.88187702265372,3.96601941747573,4.05825242718447,3.89967637540453,3.91423948220065,309
"Amarcord Birra Artigianale Italiana",7734,"[""La Tabachéra"",""Prima Donna"",""La Puténa"",""Nero's 1st Century Double Dark Malt Ale"",""La Mi Dòna"",""Premium Pale Ale"",""Gradisca"",""E Figoun""]","[""17087"",""38817"",""15903"",""76116"",""17598"",""60766"",""44944"",""24009""]",8,3.22321428571429,3.14732142857143,3.48214285714286,3.17410714285714,3.16517857142857,112
"AMB - Maître Brasseur",14319,"[""Ma Nouère"",""La Scottish"",""Bitter"",""La Blanche De Laval"",""Rousse Classique"",""Scotch Ale Impériale"",""India Pale Ale Classique"",""Stout Impérial"",""La Bohème"",""La Maitresse"",""La Boucaneuse Fumee'"",""La Route Des Indes"",""Nectar Du Diable"",""Porter Du Marché"",""American Pale Ale Classique"",""L'Orgasme"",""Champenoise Impériale"",""Bête Noire"",""La Garce"",""Porter Impérial"",""L'Altesse"",""La Belle Brune"",""Belge Ambrée Sélection"",""Paroxysme"",""Rousse Fumée Impériale"",""Blonde Belge Sélection""]","[""33392"",""39837"",""34358"",""44790"",""60481"",""59193"",""59739"",""59202"",""47948"",""39571"",""41364"",""31992"",""39839"",""40263"",""62080"",""47458"",""59215"",""48007"",""36562"",""59219"",""38937"",""36497"",""59189"",""47284"",""59179"",""59176""]",26,3.41625615763547,3.47290640394089,3.55418719211823,3.37684729064039,3.39655172413793,203
"Amber's Brewing Co.",14127,"[""Pale Ale"",""Australian Mountain Pepper Berry"",""Sap Vampire Maple Lager"",""Lunch Pail Ale"",""Honey Brown"",""Kenmount Road Chocolate Stout""]","[""49219"",""31235"",""44373"",""43858"",""32411"",""46336""]",6,3.44029850746269,3.45522388059702,3.49253731343284,3.40298507462687,3.47761194029851,67
"America's Brewpub",2830,"[""Aurora Amber Ale"",""Mamma Mia Pizza Beer"",""Bourbon Barrel Barleywine"",""Schwartz"",""Paddler's Porter"",""Walter Payton Pilsener"",""Bourbon Barrel Imperial Stout (Signature Series)"",""Honey Wheat Ale""]","[""10993"",""36952"",""34816"",""11003"",""41748"",""11001"",""41427"",""10996""]",8,3.57954545454545,3.74242424242424,3.78409090909091,3.54545454545455,3.61363636363636,132
