"beer_name","beer_id","brewery_name","brewery_id","beer_style","beer_abv","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews","beer_tag"
"#14",50822,"Carolina Brewing Company",1499,"Tripel",8,3.85714285714286,3.78571428571429,3.85714285714286,3.71428571428571,3.78571428571429,7,"Belgian"
"#9",299,"Magic Hat Brewing Company",96,"Fruit / Vegetable Beer",5.1,3.53952843273232,3.43446601941748,3.50104022191401,3.39805825242718,3.39667128987517,1442,"Other"
"$ellout $tout",55449,"Half Pints Brewing Company",14078,"American Double / Imperial Stout",8.2,4.14285714285714,4.19047619047619,4.21428571428571,3.88095238095238,4.19047619047619,21,"Stout"
"(512) Alt",48619,"(512) Brewing Company",17863,"Altbier",6,4.09090909090909,3.81818181818182,3.77272727272727,4,3.90909090909091,11,"Other"
"(512) Black IPA",67098,"(512) Brewing Company",17863,"American Black Ale",7,4,3.88461538461538,4.23076923076923,3.92307692307692,4.03846153846154,13,"Other"
"(512) Brandy Barrel Aged ONE",62879,"(512) Brewing Company",17863,"Belgian Strong Pale Ale",8,3.75,4.1875,3.875,3.75,4.0625,8,"Belgian"
"(512) Bruin",53957,"(512) Brewing Company",17863,"American Brown Ale",7.6,3.96875,3.84375,3.96875,3.875,4.28125,16,"Other"
"(512) Cascabel Cream Stout",65536,"(512) Brewing Company",17863,"Milk / Sweet Stout",6,3.64285714285714,3.71428571428571,4.07142857142857,3.64285714285714,3.57142857142857,7,"Stout"
"(512) IPA",43535,"(512) Brewing Company",17863,"American IPA",7,4.25925925925926,4.12962962962963,4.00925925925926,4.10185185185185,4.18518518518519,54,"IPA"
"(512) ONE",51496,"(512) Brewing Company",17863,"Belgian Strong Dark Ale",8,3.73076923076923,3.76923076923077,4.03846153846154,3.76923076923077,3.80769230769231,13,"Belgian"
"(512) Pale",43534,"(512) Brewing Company",17863,"American Pale Ale (APA)",5.5,3.67857142857143,3.75,3.89285714285714,3.78571428571429,3.67857142857143,14,"Pale Ale"
"(512) Pecan Porter",45617,"(512) Brewing Company",17863,"American Porter",6.8,4.18518518518519,4.0679012345679,4.16666666666667,3.98148148148148,4.16666666666667,81,"Porter"
"(512) Three",74074,"(512) Brewing Company",17863,"Tripel",9.5,4.07142857142857,4.14285714285714,3.92857142857143,4.07142857142857,4.14285714285714,7,"Belgian"
"(512) TWO",61208,"(512) Brewing Company",17863,"American Double / Imperial IPA",9,3.82352941176471,3.82352941176471,3.94117647058824,3.76470588235294,3.85294117647059,17,"IPA"
"(512) Whiskey Barrel Aged Double Pecan Porter",54905,"(512) Brewing Company",17863,"American Porter",8.2,4.06756756756757,4.09459459459459,4.18918918918919,4.06756756756757,4.13513513513514,37,"Porter"
"(512) Wit",43536,"(512) Brewing Company",17863,"Witbier",5.5,4.30555555555556,3.97222222222222,4.02777777777778,3.88888888888889,3.97222222222222,18,"Other"
"(STOUT)",57097,"Yakima Craft Brewing Co.",18069,"American Stout",6.3,3.3,3.1,3.4,3.5,3.4,5,"Stout"
".357 Imperial Pilsner",57926,"Flossmoor Station Restaurant & Brewery",612,"American Double / Imperial Pilsner",12,3.15151515151515,3.5,3.74242424242424,3.46969696969697,3.27272727272727,33,"Pilsner"
"? The Riddler ?",36276,"Rock Art Brewery",1805,"Dubbel",8,3.5,3.64166666666667,3.63333333333333,3.575,3.55833333333333,60,"Belgian"
"\""100\""",49236,"The Covey Restaurant & Brewery",13338,"Belgian Dark Ale",10,4,4,4,4,4.4,5,"Belgian"
"\""400\"" Ale",36909,"Williamsburg AleWerks",14952,"American Brown Ale",NA,3.33333333333333,3.83333333333333,3.91666666666667,3.75,3.44444444444444,18,"Other"
"\""Hop Obama\"" Ale",41650,"Sixpoint Brewery",10607,"American Amber / Red Ale",5.2,4.16071428571429,3.91071428571429,4.07142857142857,3.98214285714286,4.16071428571429,28,"Other"
"\""Jessica & Brendan's\"" Bridal Ale",60596,"Moylan's Brewery",870,"American Amber / Red Ale",5,2.91666666666667,2.58333333333333,3.16666666666667,3,2.33333333333333,6,"Other"
"\""Not Guilty\"" 1924 Deer Brand",49214,"August Schell Brewing Company",417,"American Adjunct Lager",5.91,4.07142857142857,3.78571428571429,3.64285714285714,3.71428571428571,4.07142857142857,7,"Lager"
"\""Old Yeltsin\"" Imperial Stout",2543,"Hoptown Brewing Company",591,"Russian Imperial Stout",9,3.88181818181818,4.09090909090909,4.04545454545455,4.00909090909091,4.10909090909091,55,"Stout"
"\""Requisite\"" Imperialistic Stout",62514,"Stillwater Artisanal Ales",22150,"American Double / Imperial Stout",9,3.78571428571429,3.64285714285714,3.64285714285714,3.92857142857143,3.85714285714286,7,"Stout"
"\""Shabadoo\"" Black & Tan Ale",2369,"Berkshire Brewing Company Inc.",33,"Black & Tan",6.3,3.99145299145299,3.71794871794872,3.89316239316239,3.84615384615385,3.9017094017094,117,"Other"
"\""The Buk\"" Pale Ale",66122,"Wormtown Brewing Co.",22200,"American Pale Ale (APA)",5.5,4.28571428571429,4,4.14285714285714,4.07142857142857,4.07142857142857,7,"Pale Ale"
"\""The Wind Cried Mari...\"" Scottish Heather Ale",5756,"Cambridge Brewing Company",14,"Scottish Gruit / Ancient Herbed Ale",4.4,3.92,4.16,3.9,3.88,4.02,25,"Other"
"\""True Blue\"" Blueberry Ale",30518,"Bar Harbor Brewing Company",347,"Fruit / Vegetable Beer",NA,3.71052631578947,3.92105263157895,3.84210526315789,3.68421052631579,3.60526315789474,19,"Other"
"0% Brett Saison De Lente",65890,"The Bruery",16866,"Saison / Farmhouse Ale",6.5,3.7,3.6,4,3.4,3.7,5,"Other"
"1 A.M. Ale",25251,"Emmett's Brewing Company",12003,"English Pale Ale",4.5,3.73333333333333,3.63333333333333,3.8,3.76666666666667,3.7,15,"Pale Ale"
"1 Door Flemish Style Sour Ale",66216,"Hermitage Brewing",23459,"Flanders Oud Bruin",7,2.3,2.53333333333333,3.23333333333333,2.6,2.23333333333333,30,"Other"
"1 Door Saison Style Ale",67837,"Hermitage Brewing",23459,"Saison / Farmhouse Ale",7,3.33333333333333,3.44444444444444,3.72222222222222,3.22222222222222,3.27777777777778,9,"Other"
"10-10-10 IPA",56675,"Swamp Head Brewery & Tasting Room",21154,"American Double / Imperial IPA",10,3.91176470588235,3.97058823529412,4,3.85294117647059,3.91176470588235,17,"IPA"
"10-10-10 IPA (Whiskey Barrel Aged)",62491,"Swamp Head Brewery & Tasting Room",21154,"American Double / Imperial IPA",10,4.125,4.3125,4,3.9375,4.25,8,"IPA"
"10 (Dieci)",73300,"Birrificio Brùton",15939,"Quadrupel (Quad)",10,3.6,3.4,3.9,3.5,3.7,5,"Belgian"
"10 Commandments",36728,"The Lost Abbey",18149,"Belgian Strong Dark Ale",10,3.82881355932203,4.06101694915254,3.9864406779661,3.88305084745763,3.9864406779661,295,"Belgian"
"10 Degrees Below",33809,"Scuttlebutt Brewing Company",1397,"Weizenbock",7.4,3.68055555555556,3.56944444444444,3.65277777777778,3.66666666666667,3.52777777777778,36,"Other"
"10 Squared Fish Tale Ale",13416,"Fish Brewing Company / Fishbowl Brewpub",684,"American Barleywine",10,3.92477876106195,3.94690265486726,3.9646017699115,3.99557522123894,3.95575221238938,113,"Other"
"10.0",42379,"Flossmoor Station Restaurant & Brewery",612,"American Double / Imperial Stout",NA,3.8411214953271,3.90654205607477,4.04672897196262,3.86915887850467,3.8411214953271,107,"Stout"
"100 Meter Ale",38765,"Eugene City Brewery",11835,"American Amber / Red Ale",NA,3.73333333333333,3.76666666666667,3.96666666666667,3.75,3.76666666666667,30,"Other"
"100% Barrel Fermented Autumn Maple",61151,"The Bruery",16866,"Fruit / Vegetable Beer",10,3.41428571428571,3.85714285714286,3.7,3.67142857142857,3.65714285714286,35,"Other"
"100% Brett Autumn Maple",72975,"The Bruery",16866,"American Wild Ale",10,3.92105263157895,4.05263157894737,3.76315789473684,3.84210526315789,4,19,"Other"
"1000 IBU",56842,"Mikkeller ApS",13307,"American Double / Imperial IPA",9.6,3.68852459016393,3.96994535519126,3.90163934426229,3.87158469945355,3.86885245901639,183,"IPA"
"1000 IBU - Barrel Aged",61135,"Mikkeller ApS",13307,"American Double / Imperial IPA",9.6,2.675,2.9,3.7,3.45,2.75,20,"IPA"
"1000 IBU Light",72378,"Mikkeller ApS",13307,"American Pale Ale (APA)",4.9,2.58333333333333,3.33333333333333,3.83333333333333,2.75,3.16666666666667,6,"Pale Ale"
"1000.0",14957,"Martha's Exchange",586,"Belgian Strong Pale Ale",8.2,4.1,4.1,3.8,3.9,3.9,5,"Belgian"
"1084 Barley Wine Ale",256,"Ipswich Ale Brewery",162,"English Barleywine",NA,2.9375,3.4375,3,3.0625,3.25,8,"Other"
"10th Anniversary Ale",37899,"Amherst Brewing Co.",225,"Old Ale",NA,3.81081081081081,3.75675675675676,3.77027027027027,3.77027027027027,3.82432432432432,37,"Other"
"10th Anniversary Double India Pale Ale",23626,"Middle Ages Brewing Co., Ltd.",103,"American Double / Imperial IPA",10,4.00279329608939,4.13687150837989,4.13128491620112,4.0195530726257,4.08100558659218,179,"IPA"
"10th Anniversary Special Russian Imperial Stout",26235,"Coast Range Brewing Co.",982,"Russian Imperial Stout",11.4,4.31818181818182,4.45454545454545,4.18181818181818,4.54545454545455,4.5,11,"Stout"
"11.0",55971,"Bear Republic Brewing Co.",610,"American Double / Imperial IPA",8.3,3.42857142857143,3.64285714285714,3.71428571428571,3.71428571428571,3.57142857142857,7,"IPA"
"1100 Wheat Wine",22078,"Fitger's Brewhouse",1169,"Wheatwine",11.5,4.5,4.6,4.2,4.3,4.6,5,"Wheat Beer"
"110K+OT Batch #1 - Der Rauch Gott",45656,"Cigar City Brewing",17981,"Smoked Beer",11.4,4.28571428571429,4.42857142857143,4.28571428571429,4.42857142857143,4.57142857142857,7,"Other"
"110K+OT Batch #2 - I.R.I.S.",49742,"Cigar City Brewing",17981,"Russian Imperial Stout",11.5,3.92452830188679,4.10849056603774,4.4622641509434,4.17924528301887,4.07547169811321,106,"Stout"
"110K+OT Batch #2 - I.R.I.S. - Barrel Aged",51469,"Cigar City Brewing",17981,"Russian Imperial Stout",11.5,4.12222222222222,4.18888888888889,4.3,4.18888888888889,4.17777777777778,45,"Stout"
"110K+OT Batch #3 - The Other West Coast IPA",58685,"Cigar City Brewing",17981,"American Double / Imperial IPA",10,3.09649122807018,3.44736842105263,3.78508771929825,3.3859649122807,3.22368421052632,114,"IPA"
"110K+OT Batch #3 - The Other West Coast IPA - Cedar Aged (Humidor Series)",60877,"Cigar City Brewing",17981,"American Double / Imperial IPA",10,3.92857142857143,4.07142857142857,4,3.85714285714286,4.07142857142857,7,"IPA"
"110K+OT Batch #4 - Imperial Red Ale",68985,"Cigar City Brewing",17981,"American Amber / Red Ale",10.2,3.61538461538462,3.70769230769231,4.13846153846154,3.81538461538462,3.63846153846154,65,"Other"
"11th Anniversary (2009) Blackberry Wit",47059,"Springfield Brewing Company",1483,"Witbier",NA,3.7,3.5,3.7,3.8,3.5,5,"Other"
"11th Anniversary Double IPA",68163,"Cumberland Brews",9529,"American Double / Imperial IPA",NA,3.83333333333333,3.66666666666667,4.11111111111111,3.77777777777778,3.77777777777778,9,"IPA"
"11th Anniversary Double Wheat",31196,"Middle Ages Brewing Co., Ltd.",103,"American Pale Wheat Ale",8.5,3.72881355932203,3.8135593220339,3.84745762711864,3.66101694915254,3.67796610169492,59,"Wheat Beer"
"12 Dogs Of Christmas Ale",45992,"Thirsty Dog Brewing Company",12516,"Winter Warmer",8.3,3.79615384615385,3.80769230769231,3.74615384615385,3.66923076923077,3.86153846153846,130,"Other"
"12 Horse Ale",844,"Genesee Brewing Co. / Dundee Brewing Co.",302,"American Blonde Ale",5.1,3.03448275862069,2.8448275862069,3.32758620689655,2.89655172413793,2.81034482758621,29,"Other"
"120 Minute IPA",9086,"Dogfish Head Brewery",10099,"American Double / Imperial IPA",18,3.54985673352436,4.00200573065903,4.0297994269341,3.89340974212034,3.91948424068768,1745,"IPA"
"1260 Triple India Pale Ale",43919,"Stone Coast Brewing Co.",170,"American Double / Imperial IPA",10,4.17857142857143,4.10714285714286,4.53571428571429,4.39285714285714,4.39285714285714,14,"IPA"
"12th Anniversary Imperial Porter",37101,"Middle Ages Brewing Co., Ltd.",103,"English Porter",9,4.02777777777778,3.75,4.16666666666667,3.91666666666667,4,18,"Porter"
"12th Anniversary Undercover Investigation Shut-Down Ale",30228,"Lagunitas Brewing Company",220,"American Double / Imperial IPA",9.9,3.88888888888889,4.01388888888889,4.06111111111111,3.87222222222222,3.97777777777778,180,"IPA"
"12th Street Pilsner (15th Anniversary)",15542,"Rogue Ales",132,"Czech Pilsener",5.5,4.03571428571429,3.85714285714286,4.07142857142857,3.89285714285714,4,14,"Pilsner"
"13 (Thirteen) Degrees",13872,"DuClaw Brewing Company",1924,"Hefeweizen",4.8,3.825,3.6,3.375,3.8,3.75,20,"Wheat Beer"
"13 Hour Wheat Wine",50506,"Fort Collins Brewing",6372,"Wheatwine",NA,3.78571428571429,4.07142857142857,3.71428571428571,3.92857142857143,4.14285714285714,7,"Wheat Beer"
"13 Rebels ESB",17559,"French Broad Brewing Co.",2455,"Extra Special / Strong Bitter (ESB)",5.2,3.66883116883117,3.41558441558442,3.57792207792208,3.61038961038961,3.57142857142857,77,"Other"
"132 Cents IPA",44905,"Victory Brewing Company",345,"American IPA",6.8,4.29166666666667,4.125,4,4.29166666666667,4.41666666666667,12,"IPA"
"14'ER ESB",67,"Avery Brewing Company",30,"Extra Special / Strong Bitter (ESB)",5.13,3.72027972027972,3.48951048951049,3.74825174825175,3.52797202797203,3.54195804195804,286,"Other"
"14th Anniversary Ale",64647,"Rock Bottom Restaurant & Brewery",1550,"Belgian Strong Pale Ale",8.7,4,3.71428571428571,4.14285714285714,3.78571428571429,4,7,"Belgian"
"150th Anniversary All Malt Lager",37523,"Stevens Point Brewery",786,"American Pale Lager",NA,3.07142857142857,2.42857142857143,2.5,2.92857142857143,2.64285714285714,7,"Lager"
"1516 Bavarian Lager",9444,"Okanagan Spring Brewery",3753,"Munich Helles Lager",5,3.61764705882353,3.14705882352941,3.5,3.38235294117647,3.42647058823529,34,"Lager"
"1535 Pearl Street Porter",11982,"Mountain Sun Pub & Brewery",2972,"American Porter",NA,3.78571428571429,3.57142857142857,3.71428571428571,3.5,3.64285714285714,7,"Porter"
"1554 Enlightened Black Ale",1914,"New Belgium Brewing",192,"Belgian Dark Ale",5.6,3.95858498705781,3.72691975841242,3.96074201898188,3.79853321829163,3.9137187230371,1159,"Belgian"
"15th Anniversary Ale",29396,"Empyrean Brewing Company",1880,"American Strong Ale",9,3.73076923076923,3.76923076923077,3.84615384615385,3.92307692307692,3.73076923076923,13,"Other"
"15th Anniversary Double Wench",57846,"Middle Ages Brewing Co., Ltd.",103,"American Strong Ale",12,3.85,3.96666666666667,4.03333333333333,3.78333333333333,3.93333333333333,30,"Other"
"15th Anniversary Wood Aged",50331,"Great Divide Brewing Company",158,"American Double / Imperial IPA",10,3.92549019607843,3.98627450980392,4.25294117647059,4.08235294117647,4.08235294117647,255,"IPA"
"1602 Colonial Style Porter",47956,"Buzzards Bay Brewing",52,"American Porter",NA,3.38888888888889,3.77777777777778,4.05555555555556,3.77777777777778,3.66666666666667,9,"Porter"
"1608.0",39377,"Ferme Brasserie Schoune",771,"American Amber / Red Ale",5,3.28571428571429,3,3.71428571428571,3.35714285714286,3.28571428571429,7,"Other"
"1612er Zwickl Bier",6789,"Hofbräuhaus Traunstein Josef Sailer KG",2876,"Keller Bier / Zwickel Bier",5.3,4.2,3.6,3.6,4,3.9,5,"Lager"
"16th Anniversary Wood Aged",59165,"Great Divide Brewing Company",158,"American Double / Imperial IPA",10,3.76570048309179,3.76328502415459,4.04106280193237,3.85990338164251,3.82850241545894,207,"IPA"
"16th Street Wheat",10379,"Rock Bottom Restaurant & Brewery",1550,"Hefeweizen",NA,2.875,2.8125,3,2.875,2.875,8,"Wheat Beer"
"1784.0",23715,"UAB Švyturys",9374,"Dortmunder / Export Lager",5.4,3.16666666666667,3.22222222222222,3.38888888888889,3.22222222222222,3.22222222222222,9,"Lager"
"1795 Original Czech Lager",33077,"Bud&#283;jovický M&#283;&#357;anský Pivovar",303,"Czech Pilsener",4.7,3.13888888888889,2.75,3.27777777777778,3.38888888888889,2.94444444444444,18,"Pilsner"
"17th Anniversary Wood Aged Double IPA",67655,"Great Divide Brewing Company",158,"American Double / Imperial IPA",10,3.83040935672515,3.87719298245614,4.03801169590643,3.8187134502924,3.84210526315789,171,"IPA"
"1800 Old English IPA",19041,"Minneapolis Town Hall Brewery",1177,"English India Pale Ale (IPA)",6.8,4.12820512820513,4.15384615384615,4.15384615384615,4.17948717948718,4.14102564102564,39,"IPA"
"1811 Pre-Prohibition Lager",65978,"Fort George Brewery + Public House",16077,"American Adjunct Lager",5.1,3.85,3.55,3.975,3.875,3.9,20,"Lager"
"1812 India Pale Ale",4594,"Emerson's Brewery",666,"English India Pale Ale (IPA)",4.7,3.91666666666667,3.85416666666667,3.77083333333333,4.04166666666667,3.85416666666667,24,"IPA"
"1837.0",2055,"Unibroue",22,"Belgian Strong Pale Ale",7,3.92741935483871,3.7741935483871,3.78225806451613,3.73387096774194,3.81451612903226,62,"Belgian"
"1855 Celebration Lager",26690,"Miller Brewing Co.",105,"American Adjunct Lager",4.85,3.08641975308642,2.58024691358025,2.92592592592593,2.94444444444444,2.8641975308642,81,"Lager"
"1856 IPA",19294,"Augusta Brewing Company",3777,"American IPA",NA,3.64285714285714,3.28571428571429,3.71428571428571,3.64285714285714,3.5,7,"IPA"
"186,000 MPS",49633,"Listermann Brewing Supply & Mfg",3474,"American Malt Liquor",12,3.45,3.2,3.3,3.15,3.2,10,"Other"
"1860 IPA",54224,"Stoudts Brewing Co.",394,"American IPA",NA,4,3.6875,3.9375,3.85416666666667,3.70833333333333,24,"IPA"
"1867 Munich Dunkel",42602,"August Schell Brewing Company",417,"Munich Dunkel Lager",NA,4.35714285714286,3.85714285714286,3.92857142857143,4.07142857142857,4.14285714285714,7,"Lager"
"1878 Einbecker Doppelbock",41060,"August Schell Brewing Company",417,"Doppelbock",NA,4.18181818181818,3.81818181818182,4.04545454545455,4.13636363636364,4.27272727272727,11,"Other"
"1881.0",51398,"Microbrasserie La Chouape",17233,"Belgian Dark Ale",6.7,3.33333333333333,4,3.58333333333333,3.58333333333333,3.66666666666667,6,"Belgian"
"1888 Bock",46550,"Jacob Leinenkugel Brewing Company",710,"Bock",5.1,3.48829431438127,3.25418060200669,3.67558528428094,3.19899665551839,3.24916387959866,299,"Other"
"1890 Schwarzbier",45690,"August Schell Brewing Company",417,"Schwarzbier",5.2,4.375,4,4,4.1875,4.3125,8,"Other"
"1892 Traditional Ale",11747,"Quidi Vidi Brewing Company",2281,"American Amber / Red Ale",5,3.25925925925926,3.09259259259259,3.25925925925926,3.14814814814815,3.18518518518519,27,"Other"
"18th Anniversary Pilsner",31477,"Deschutes Brewery",63,"German Pilsener",5,4.21212121212121,3.89393939393939,4.06060606060606,3.90909090909091,4.01515151515152,33,"Pilsner"
"1900 Amber Lager",50762,"Fort Collins Brewing",6372,"American Amber / Red Lager",4.5,3.56756756756757,3.14864864864865,3.48648648648649,3.47297297297297,3.44594594594595,37,"Lager"
"1901 Red Ale",46787,"Bold City Brewery",17284,"American Amber / Red Ale",NA,4.15,4,4.05,4,4.2,10,"Other"
"1913 Traditional Kolsch",62110,"Grand River Brewing",16304,"Kölsch",4.5,3.5,3.31818181818182,3.54545454545455,3.54545454545455,3.36363636363636,11,"Other"
"1914 Porter",43544,"Brouwerij De Molen",11031,"English Porter",5.8,3.63636363636364,3.68181818181818,3.75,3.20454545454545,3.65909090909091,22,"Porter"
"1919 - Choc Beer",41110,"Choc Beer Co. / Pete's Place",4707,"American Pale Wheat Ale",5,3.604,3.276,3.448,3.488,3.364,125,"Wheat Beer"
"19th Anniversary Belgian Style Golden Ale",37263,"Deschutes Brewery",63,"Belgian Strong Pale Ale",8.7,3.50877192982456,3.57894736842105,3.74561403508772,3.66666666666667,3.58771929824561,57,"Belgian"
"19th Anniversary ESB",37013,"Goose Island Beer Co.",1549,"Extra Special / Strong Bitter (ESB)",NA,4.16666666666667,4.22222222222222,4,4.05555555555556,4.22222222222222,9,"Other"
"19th Hole Ale",3613,"CB's Brewing Company",761,"American Pale Wheat Ale",NA,3.83333333333333,3.77777777777778,3.55555555555556,3.55555555555556,3.66666666666667,9,"Wheat Beer"
"1st Anniversary Red Wheat",19843,"The Tap Brewing Company",3185,"American Dark Wheat Ale",6.1,4.21428571428571,4.07142857142857,4,4,4.14285714285714,7,"Wheat Beer"
"2-6-0",31511,"Pennichuck Brewing Company, Inc.",12166,"Vienna Lager",5,3.44117647058824,3.41176470588235,3.55882352941176,3.58823529411765,3.5,17,"Lager"
"2 Sisters Stout",7882,"Amherst Brewing Co.",225,"American Stout",6.6,3.86111111111111,3.80555555555556,4.13888888888889,3.77777777777778,3.91666666666667,18,"Stout"
"2 Threads",60399,"McKenzie Brew House",1872,"Saison / Farmhouse Ale",6.5,4,4.25,3.91666666666667,4,4.08333333333333,6,"Other"
"2 Turtle Doves",53326,"The Bruery",16866,"Belgian Strong Dark Ale",12,3.90301724137931,4.05172413793103,4.07112068965517,4.02586206896552,4.10991379310345,232,"Belgian"
"20 To Life",38162,"Moonlight Brewing Company",763,"American Wild Ale",5,4.3,4.2,4,4.3,4.4,5,"Other"
"20:20 Blonde Ale",42486,"Two Beers Brewing Co.",17005,"American Blonde Ale",NA,3.9375,3.75,3.875,3.6875,3.8125,8,"Other"
"20\"" Brown",4536,"Cascade Lakes Brewing Co.",1043,"American Brown Ale",5.3,3.78947368421053,3.44736842105263,3.78947368421053,3.73684210526316,3.65789473684211,19,"Other"
"200 Meter Ale",43052,"Eugene City Brewery",11835,"American IPA",5.8,3.97435897435897,3.96153846153846,3.96153846153846,3.91025641025641,3.98717948717949,39,"IPA"
"2004 Symposium Ale",17135,"Stone Brewing Co.",147,"Belgian Strong Pale Ale",7.48,3.91071428571429,3.94642857142857,3.91071428571429,3.69642857142857,3.875,28,"Belgian"
"2005 Christmas Ale",27071,"Sly Fox Brewing Company",10397,"Herbed / Spiced Beer",6.5,3.40909090909091,3.77272727272727,3.95454545454545,3.40909090909091,3.40909090909091,11,"Other"
"2005 Tulip Festival Ale",22443,"LaConner Brewing Company",698,"American Pale Ale (APA)",NA,3.75,3.83333333333333,3.33333333333333,3.66666666666667,3.91666666666667,6,"Pale Ale"
"2006 Christmas Ale",33837,"Sly Fox Brewing Company",10397,"Winter Warmer",6.5,3.89473684210526,3.94736842105263,4,3.89473684210526,4.05263157894737,19,"Other"
"2006 Double Bastard Ale Aged In Brandy Barrels",44126,"Stone Brewing Co.",147,"American Strong Ale",10,3.85714285714286,4.2,3.98571428571429,4.08571428571429,4.25714285714286,35,"Other"
"2007 Christmas Ale",39714,"Sly Fox Brewing Company",10397,"Winter Warmer",NA,3.68965517241379,3.63793103448276,3.93103448275862,3.70689655172414,3.79310344827586,29,"Other"
"2007 Vintage Oak Aged Ale (Barrel No. 230)",55104,"Brouwerij Rodenbach N.V.",216,"Flanders Red Ale",7,4.27966101694915,4.25423728813559,4.04237288135593,4.19491525423729,4.34745762711864,59,"Other"
"2008 Christmas Ale",46528,"Sly Fox Brewing Company",10397,"Winter Warmer",6.5,4.05769230769231,4.07692307692308,4.21153846153846,3.94230769230769,4.05769230769231,26,"Other"
"2008 Vintage Oak Aged Ale (Barrel No. 96)",62395,"Brouwerij Rodenbach N.V.",216,"Flanders Red Ale",7,4.18888888888889,4.13333333333333,4.07777777777778,4.23333333333333,4.3,45,"Other"
"2009 Christmas Ale",54591,"Sly Fox Brewing Company",10397,"Winter Warmer",6.5,3.8125,3.875,4,3.65625,4.0625,16,"Other"
"2009 Correction Ale",48969,"Lagunitas Brewing Company",220,"American IPA",6.33,4.0450643776824,4.13090128755365,3.93347639484979,3.80257510729614,3.95278969957082,233,"IPA"
"2009 Vintage Oak Aged Ale (Barrel No. 145)",74486,"Brouwerij Rodenbach N.V.",216,"Flanders Red Ale",7,4.28571428571429,3.92857142857143,4.14285714285714,4.07142857142857,4.07142857142857,7,"Other"
