"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"21",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1118773122,3,3,3.5,"Euro Strong Lager",3.5,3.5,"Debowe Mocne",7,24254
"22",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1251436019,3,2.5,3,"Czech Pilsener",2.5,3,"Tyskie Ksiazece",5.7,31256
"23",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1213048558,3.5,3.5,3,"Czech Pilsener",3.5,3.5,"Tyskie Ksiazece",5.7,31256
"24",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1151061243,3.5,2.5,2,"Czech Pilsener",3,3,"Tyskie Ksiazece",5.7,31256
"25",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1219360491,2,2,3,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"26",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1216213942,2,1,1.5,"Euro Pale Lager",1,1,"Tyskie Gronie",5.6,5280
"27",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1216164074,2,2.5,2.5,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"28",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1215825491,4,3,2.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"29",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1212710785,4,3,3.5,"Euro Pale Lager",3.5,4,"Tyskie Gronie",5.6,5280
"30",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1210513465,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"31",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1210105383,2.5,2,2.5,"Euro Pale Lager",2,2,"Tyskie Gronie",5.6,5280
"32",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1209774625,2.5,2.5,2.5,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"33",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1209487389,2,2,1,"Euro Pale Lager",1,1.5,"Tyskie Gronie",5.6,5280
"34",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1192061808,4,3,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"35",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1207345229,4,3,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"36",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1206661033,4,2,2.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"37",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1206394994,4.5,2,2.5,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"38",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1206382173,3.5,3.5,4,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"39",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1204790552,5,5,5,"Euro Pale Lager",5,5,"Tyskie Gronie",5.6,5280
"40",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1200011853,3,3.5,2.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"41",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1200009643,4,3.5,3,"Euro Pale Lager",4,4,"Tyskie Gronie",5.6,5280
"42",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1198643355,4,3,2,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"43",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1198535519,3.5,4,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
"44",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1197645918,4,3,3,"Euro Pale Lager",4,4,"Tyskie Gronie",5.6,5280
"45",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1197567706,4,3,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"46",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1196556718,4,2.5,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"47",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1191988212,2.5,2,3,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"48",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1190075372,3.5,3,4,"Euro Pale Lager",3.5,2.5,"Tyskie Gronie",5.6,5280
"49",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1184649433,4.5,3,3,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"50",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1183925841,4.5,2.5,3.5,"Euro Pale Lager",2.5,3.5,"Tyskie Gronie",5.6,5280
"51",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1183874101,3.5,3,2,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"52",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1183058922,2.5,3,2.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"53",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1182466149,3,3,3.5,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"54",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1181312522,3,3,3.5,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"55",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1181187765,2,2,2.5,"Euro Pale Lager",2,2,"Tyskie Gronie",5.6,5280
"56",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1180124263,3.5,2.5,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"57",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1179461848,4,3.5,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"58",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1177532098,2.5,2.5,2.5,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"59",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1177295843,3.5,3,3,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"60",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1174847869,2.5,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"61",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1174445292,3,2.5,3.5,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"62",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1172239804,3.5,3,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"63",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1171832511,3.5,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"64",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1171781150,3.5,3,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"65",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1169993878,3.5,3,3,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"66",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1169154528,1.5,2,2.5,"Euro Pale Lager",2,2,"Tyskie Gronie",5.6,5280
"67",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1169153754,3.5,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"68",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1167074769,3.5,3,4,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"69",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1166288609,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"70",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1164675433,3.5,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"71",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1163616490,3.5,3,3,"Euro Pale Lager",4,3,"Tyskie Gronie",5.6,5280
"72",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1159995539,3.5,3,3,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"73",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1158031441,2,2.5,2,"Euro Pale Lager",2,2.5,"Tyskie Gronie",5.6,5280
"74",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1156282648,3.5,3,3.5,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"75",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1156036924,3.5,3,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"76",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1155962339,4,3.5,4,"Euro Pale Lager",3.5,4,"Tyskie Gronie",5.6,5280
"77",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1141031523,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"78",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1154491086,3.5,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"79",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1152759983,3,2.5,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"80",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1149308482,5,3,3.5,"Euro Pale Lager",4.5,4,"Tyskie Gronie",5.6,5280
"81",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1149184957,4,3.5,3.5,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"82",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1149029601,3,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"83",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1147484746,4,3,3.5,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"84",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1145423523,4.5,3.5,3,"Euro Pale Lager",3.5,4.5,"Tyskie Gronie",5.6,5280
"85",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1143604433,3.5,3,3,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"86",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1142386047,3,3,3.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"87",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1142005913,2.5,2.5,3,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"88",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1140135209,3.5,3,2.5,"Euro Pale Lager",3,4,"Tyskie Gronie",5.6,5280
"89",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1136116025,3.5,3,3.5,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"90",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1135786008,2.5,1,1.5,"Euro Pale Lager",3,2,"Tyskie Gronie",5.6,5280
"91",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1134678436,3,2,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"92",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1125421906,2,2.5,3,"Euro Pale Lager",2.5,2,"Tyskie Gronie",5.6,5280
"93",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1123868553,3,3,3,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"94",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1120705556,3,2,3,"Euro Pale Lager",2,2,"Tyskie Gronie",5.6,5280
"95",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1120086540,3,3,3,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"96",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1119328117,3.5,3,3.5,"Euro Pale Lager",4,4,"Tyskie Gronie",5.6,5280
"97",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1117368040,3.5,3,4,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"98",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1073320659,3.5,3,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"99",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1113759011,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"100",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1112387379,3,2,4,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"101",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1108329887,3,2.5,2.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"102",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1103347887,3.5,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"103",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1102726484,2.5,2,2.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"104",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1101067455,2.5,3,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
"105",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1093461038,4.5,4,4,"Euro Pale Lager",4.5,4,"Tyskie Gronie",5.6,5280
"106",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1090191303,3.5,2.5,3.5,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"107",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1082837589,3,2.5,2,"Euro Pale Lager",2,2,"Tyskie Gronie",5.6,5280
"108",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1078132256,1.5,1.5,2,"Euro Pale Lager",2,1.5,"Tyskie Gronie",5.6,5280
"109",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1070560791,3,3,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"110",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1069115398,3.5,3.5,3.5,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"111",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1064110346,2.5,2.5,3,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"112",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1048262738,3,1,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"113",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1028555916,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"114",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1324724012,3.5,3.5,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"115",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1323721660,3,2.5,1.5,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"116",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1318447201,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"117",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1315321257,2.5,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"118",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1314515987,3,1.5,2,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"119",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1313791172,3,2.5,3.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"120",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1313164688,2,2,3,"Euro Pale Lager",2,1.5,"Tyskie Gronie",5.6,5280
"121",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1313022668,2.5,2.5,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
"122",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1312455403,3.5,3,3.5,"Euro Pale Lager",3.5,4,"Tyskie Gronie",5.6,5280
"123",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1309996753,3,3,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
"124",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1306412408,3,3,3,"Euro Pale Lager",3.5,2.5,"Tyskie Gronie",5.6,5280
"125",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1305797662,3.5,3,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"126",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1303760092,4,3,4,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"127",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1302661438,3.5,3,2.5,"Euro Pale Lager",2.5,4,"Tyskie Gronie",5.6,5280
"128",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1302483461,3,3,4,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"129",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1301703288,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"130",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1300060412,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"131",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1299704669,4.5,3.5,3.5,"Euro Pale Lager",4,4,"Tyskie Gronie",5.6,5280
"132",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1298516314,3.5,2,4,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"133",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1297481418,3.5,3.5,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"134",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1297310224,4,3,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"135",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1296962023,3,3,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"136",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1296801518,2.5,3,3,"Euro Pale Lager",2.5,2.5,"Tyskie Gronie",5.6,5280
"137",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1295726649,3.5,3,2.5,"Euro Pale Lager",3,2,"Tyskie Gronie",5.6,5280
"138",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1294850881,4,3,3.5,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"139",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1293921792,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"140",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1287267571,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"141",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1293564732,3,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"142",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1293034354,2.5,2,2.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"143",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1293003606,2,2,3,"Euro Pale Lager",3,2,"Tyskie Gronie",5.6,5280
"144",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1291336281,3.5,3,4,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"145",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1291172828,3,2.5,3.5,"Euro Pale Lager",2.5,3,"Tyskie Gronie",5.6,5280
"146",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1290896118,3.5,3.5,3,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"147",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1290719037,4,2.5,4,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"148",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1290716357,3.5,3,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"149",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1290486672,3.5,3,4,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"150",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1290389782,3.5,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"151",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1289699203,4,3,3,"Euro Pale Lager",3,3.5,"Tyskie Gronie",5.6,5280
"152",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1282687991,3.5,3,3,"Euro Pale Lager",3.5,3,"Tyskie Gronie",5.6,5280
"153",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1282527674,3,3,3,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"154",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1281491732,4.5,4.5,2.5,"Euro Pale Lager",3,4.5,"Tyskie Gronie",5.6,5280
"155",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1281148442,2.5,3.5,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
